block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,64,88.8,12.7,666.666666667,34.3,1
1,64,121.1,17.1,666.666666667,612.634,0
2,64,68.1,9.3,666.666666667,91.767,0
3,64,74.5,9.3,666.666666667,1266.1,0
4,64,60.5,7.7,666.666666667,690.234,0
5,64,58.1,6.8,666.666666667,100.167,0
6,64,77.2,9.6,666.666666667,1252.4,0
7,64,60.2,7.2,666.666666667,679.434,0
8,64,55.9,6.7,666.666666667,89.067,0
9,64,95,11.4,666.666666667,1260,0
10,64,81.3,8.3,666.666666667,712.834,0
11,64,80.5,8.2,666.666666667,152.167,0
12,64,97,11.7,666.666666667,1764.5,0
13,64,86.8,10.6,666.666666667,1218.734,0
14,64,86.2,10.5,666.666666667,662.367,0
15,64,87,10.8,666.666666667,105.6,0
16,64,93.3,11.4,666.666666667,1458.534,0
17,64,83.9,11.3,666.666666667,908.967,0
18,64,84.8,10.6,666.666666667,349.5,0
19,64,65.3,7.6,666.666666667,1447.634,0
20,64,56.2,6.7,666.666666667,863.067,0
21,64,55.5,6.9,666.666666667,268.9,0
22,64,60.6,7,666.666666667,1446.634,0
23,64,56,6.5,666.666666667,857.167,0
24,64,55,6.6,666.666666667,262.8,0
25,64,81.4,10,666.666666667,1454.434,0
26,64,67.8,6.9,666.666666667,889.767,0
27,64,67.4,6.9,666.666666667,311.4,0
28,64,86.9,10.6,666.666666667,1458.834,0
29,64,85.5,10.3,666.666666667,903.767,0
30,64,85.2,10.3,666.666666667,365.1,1
31,64,66.3,9.6,666.666666667,1451.834,0
32,64,56.4,7.2,666.666666667,868.067,0
33,64,55.1,5.7,666.666666667,274.2,0
34,64,63.9,7.9,666.666666667,1449.934,0
35,64,57.9,7.2,666.666666667,863.667,0
36,64,57.4,6.7,666.666666667,271.1,0
37,64,88.8,10.5,666.666666667,1457.134,0
38,64,85.4,10,666.666666667,904.067,0
39,64,82.3,9.7,666.666666667,347.5,0
40,64,84.6,10,666.666666667,1454.834,0
41,64,81.2,8.2,666.666666667,897.867,0
42,64,81.3,8.5,666.666666667,337.1,0
43,64,78.5,9.7,666.666666667,1453.334,0
44,64,70.6,8.6,666.666666667,885.967,0
45,64,69.1,8.2,666.666666667,310.2,0
46,64,143.9,20.4,666.666666667,1483.834,0
47,64,122.4,15.8,666.666666667,995.767,0
48,64,121.5,15.2,666.666666667,485.7,0
49,64,67.7,8,666.666666667,1452.234,0
