block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
129,7,19.9,2.5,145.833333333,1100.667,0
130,64,92.7,10.2,1333.33333333,997.334,0
131,333,614.4,207.2,6937.5,1693.2,0
132,1,16.6,3.4,20.8333333333,660,1
133,7,20,2.9,145.833333333,659.167,0
134,64,88.7,10.5,1333.33333333,555.834,0
135,333,425.8,50.3,6937.5,1300,0
136,1,20.7,3.3,20.8333333333,1217.5,0
137,7,21.5,2.7,145.833333333,1220.267,0
138,64,94.2,10.9,1333.33333333,1118.234,0
139,333,307.4,32.8,6937.5,1787.8,0
140,1,15.3,3.1,20.8333333333,182.9,0
141,7,18.5,2.4,145.833333333,180.267,0
142,64,82,9.4,1333.33333333,73.934,0
143,333,301,32.8,6937.5,1757.2,0
144,1,8.3,1.5,20.8333333333,753,1
145,7,11.7,1.6,145.833333333,742.467,0
146,64,58.5,6,1333.33333333,624.034,0
147,333,336.9,33.8,6937.5,1333.3,0
148,1,17.7,3.4,20.8333333333,1602.2,0
149,7,17,2,145.833333333,1601.767,0
150,64,68.4,7.4,1333.33333333,1488.634,0
151,333,350.1,38.9,6937.5,302.8,0
152,1,12.2,2.7,20.8333333333,1157.9,0
153,7,13.5,1.9,145.833333333,1151.267,0
154,64,58.1,6.9,1333.33333333,1034.134,0
155,333,608.6,105.8,6937.5,1797,0
156,1,14.4,3.3,20.8333333333,745.3,1
157,7,16.4,2.3,145.833333333,741.667,0
158,64,72.2,8.7,1333.33333333,630.934,0
159,333,344,38.9,6937.5,1311.9,0
160,1,14.5,2.8,20.8333333333,1285.1,0
161,7,13.2,1.9,145.833333333,1280.967,0
162,64,62.4,6.9,1333.33333333,1163.734,0
163,333,551.2,60.1,6937.5,1924.6,0
164,1,16.2,3.5,20.8333333333,847.1,0
165,7,15,2.4,145.833333333,844.667,0
166,64,61,7.6,1333.33333333,729.134,0
167,333,283.8,32.7,6937.5,1420.4,0
168,1,15.2,3.6,20.8333333333,1441.1,1
169,7,18.2,2.5,145.833333333,1438.767,0
170,64,83.1,8.6,1333.33333333,1333.334,0
171,333,333.5,33.8,6937.5,195.2,0
172,1,20.9,3.7,20.8333333333,976.1,0
173,7,18.7,2.4,145.833333333,978.667,0
174,64,79.7,9.1,1333.33333333,870.534,0
175,333,304.4,32.7,6937.5,1545.3,0
176,1,33.4,22.3,20.8333333333,1060.2,0
177,7,19.6,2.8,145.833333333,1075.967,0
178,64,91.3,11,1333.33333333,973.034,0
179,333,606.5,67.8,6937.5,1347.9,0
180,1,17.8,3,20.8333333333,189,1
181,7,17.9,2.4,145.833333333,188.967,0
182,64,78.3,8.7,1333.33333333,79.534,0
183,333,371.6,39.5,6937.5,1763.8,0
184,1,39.8,27.1,20.8333333333,1239,0
185,7,37.3,5.7,145.833333333,1273.867,0
186,64,90.8,12.3,1333.33333333,1197.634,0
187,333,462,61.4,6937.5,1268.3,0
188,1,17.4,3.4,20.8333333333,1205.5,0
189,7,16.3,2.1,145.833333333,1204.467,0
190,64,64.9,7.6,1333.33333333,1089.934,0
191,333,381.5,46,6937.5,1792.1,0
192,1,19.8,3.9,20.8333333333,789.2,1
193,7,14,1.9,145.833333333,791.467,0
194,64,73.6,7.8,1333.33333333,678.434,0
195,333,305,34.7,6937.5,1338.6,0
196,1,15.2,3.1,20.8333333333,1328.4,0
197,7,14.8,2.3,145.833333333,1324.867,0
198,64,62.1,7.2,1333.33333333,1209.034,0
199,333,289.5,33.3,6937.5,1901.5,0
200,1,24.1,3.8,20.8333333333,898.2,0
201,7,27.3,3.6,145.833333333,905.267,0
202,64,124,15.3,1333.33333333,813.734,0
203,333,310.7,33,6937.5,2282.6,0
204,1,12.5,2.3,20.8333333333,1290,1
205,7,13.9,1.9,145.833333333,1283.667,0
206,64,61.1,7.1,1333.33333333,1166.834,0
207,333,354.7,39.1,6937.5,1866.6,0
208,1,17.7,3.8,20.8333333333,842.7,0
209,7,16.7,2.5,145.833333333,842.067,0
210,64,65.7,7.3,1333.33333333,728.034,0
211,333,437.2,48.2,6937.5,1442.7,0
212,1,16.8,2.9,20.8333333333,1402.6,0
213,7,15.3,2,145.833333333,1400.767,0
214,64,63.9,7.8,1333.33333333,1285.534,0
215,333,284.7,30.8,6937.5,92.2,0
216,1,20.6,3.9,20.8333333333,507,1
217,7,21.3,2.8,145.833333333,510.467,0
218,64,90.6,10.7,1333.33333333,408.734,0
219,333,432.3,48.5,6937.5,1084.3,0
220,1,18.8,3.1,20.8333333333,1045.6,0
221,7,18.6,2.4,145.833333333,1046.167,0
222,64,78.1,8.9,1333.33333333,937.434,0
223,333,393.2,48.2,6937.5,1758,0
224,1,20.9,3.7,20.8333333333,609.9,0
225,7,18.3,2.5,145.833333333,613.467,0
226,64,89.7,10.6,1333.33333333,508.634,0
227,333,293.1,32.7,6937.5,1204.8,0
228,1,17.5,4,20.8333333333,1187.6,1
229,7,18.1,2.9,145.833333333,1186.967,0
230,64,74.9,9.3,1333.33333333,1078.234,0
231,333,365.2,41.1,6937.5,1760.3,0
232,1,15.6,2.7,20.8333333333,735.2,0
233,7,14.8,1.9,145.833333333,732.067,0
234,64,62.8,7.4,1333.33333333,616.234,0
235,333,295,32.4,6937.5,1302.8,0
236,1,20.4,4.3,20.8333333333,1293.5,0
237,7,19.1,2.9,145.833333333,1295.767,0
238,64,78.7,8.9,1333.33333333,1187.534,0
239,333,294.5,33.2,6937.5,1863.4,0
240,1,22.4,4.3,20.8333333333,872.5,1
241,7,21.9,2.8,145.833333333,877.167,0
242,64,94,11.4,1333.33333333,774.734,0
243,333,304,33,6937.5,1426.4,0
244,1,17.2,3.2,20.8333333333,1418.201,0
245,7,17.5,2.3,145.833333333,1417.267,0
246,64,74.6,8.6,1333.33333333,1308.034,0
247,333,351.6,47.7,6937.5,144.2,0
248,1,21.1,4.4,20.8333333333,990.701,0
249,7,20.6,3,145.833333333,993.967,0
250,64,92.5,11.6,1333.33333333,889.734,0
251,333,384.4,43.2,6937.5,1578.8,0
252,1,16.8,3,20.8333333333,71.9,1
253,7,14.7,2.2,145.833333333,69.967,0
254,64,74.2,9.2,1333.33333333,1900.234,0
255,333,278.6,31.1,6937.5,716.6,0
256,1,24.8,4.5,20.8333333333,617.9,0
257,7,18.4,2.6,145.833333333,625.067,0
258,64,93.5,10.9,1333.33333333,520.234,0
259,333,364.1,39.6,6937.5,1204,0
260,1,22.4,4.3,20.8333333333,1175.8,0
261,7,24.4,3.3,145.833333333,1180.567,0
262,64,101,11.6,1333.33333333,1080.734,0
263,333,307.4,33.5,6937.5,1751.3,0
264,1,17.8,3,20.8333333333,758.7,1
265,7,17.5,2.3,145.833333333,758.567,0
266,64,90.8,10.9,1333.33333333,650.834,0
267,333,293.7,32.5,6937.5,1319.2,0
268,1,22.6,4.4,20.8333333333,1307,0
269,7,16.7,2.6,145.833333333,1311.167,0
270,64,64.6,7.6,1333.33333333,1197.234,0
271,333,297.8,34.5,6937.5,1882.2,0
272,1,27.4,4,20.8333333333,378.3,0
273,7,24,3.6,145.833333333,388.667,0
274,64,117.6,13.1,1333.33333333,289.434,0
275,333,316.7,33.3,6937.5,511.9,0
276,1,15.5,2.8,20.8333333333,1507.1,1
277,7,13.3,1.9,145.833333333,1503.967,0
278,64,60.5,6.9,1333.33333333,1386.834,0
279,333,276.5,30.5,6937.5,189.1,0
280,1,19.4,4,20.8333333333,1057.5,0
281,7,18.4,2.9,145.833333333,1058.667,0
282,64,77.3,9.2,1333.33333333,950.334,0
283,333,439,62.5,6937.5,1732.5,0
284,1,17.5,2.8,20.8333333333,619.7,0
285,7,15.7,2,145.833333333,618.567,0
286,64,64.2,7.4,1333.33333333,503.534,0
287,333,372.7,40.2,6937.5,1266.6,0
288,1,28,5,20.8333333333,1270.1,1
289,7,57.8,5.5,145.833333333,1280.967,0
290,64,126.4,21.7,1333.33333333,1219.534,0
291,333,495.3,54,6937.5,153.3,0
292,1,14.2,2.7,20.8333333333,798.3,0
293,7,15.2,1.9,145.833333333,793.667,0
294,64,65.7,7.2,1333.33333333,678.234,0
295,333,300.2,32.4,6937.5,1370.5,0
296,1,20.5,3.4,20.8333333333,1383.7,0
297,7,16.6,2,145.833333333,1386.067,0
298,64,65.9,7.4,1333.33333333,1271.834,0
299,333,286.2,31.2,6937.5,80.1,0
300,1,18.7,3.9,20.8333333333,478.2,1
301,7,18.5,2.7,145.833333333,478.767,0
302,64,78.4,9.8,1333.33333333,370.734,0
303,333,289.7,33.8,6937.5,1039.2,0
304,1,26.6,7.6,20.8333333333,1030.9,0
305,7,25.4,3.2,145.833333333,1043.867,0
306,64,102.7,11.5,1333.33333333,944.334,0
307,333,305.5,32.8,6937.5,1599.5,0
308,1,18.2,3.8,20.8333333333,1591,0
309,7,18,2.3,145.833333333,1591.067,0
310,64,74.6,8.7,1333.33333333,1482.534,0
311,333,347.3,38.5,6937.5,319.5,0
312,1,18.8,3.7,20.8333333333,1170.5,1
313,7,15.6,2.2,145.833333333,1170.967,0
314,64,64.1,7.7,1333.33333333,1056.034,0
315,333,306.5,34.5,6937.5,1722.4,0
316,1,18.4,3.7,20.8333333333,717.1,0
317,7,22.9,2.9,145.833333333,717.867,0
318,64,92.9,10.3,1333.33333333,617.934,0
319,333,424.3,45.9,6937.5,1323.4,0
320,1,20.1,4,20.8333333333,1279.8,0
321,7,13.5,2.1,145.833333333,1281.467,0
322,64,62.7,7.6,1333.33333333,1164.434,0
323,333,363.6,43,6937.5,1377.5,0
324,1,19.6,3.4,20.8333333333,1367.4,1
325,7,21.8,2.9,145.833333333,1369.367,0
326,64,92.7,10.7,1333.33333333,1268.034,0
327,333,354.8,38.7,6937.5,141.1,0
328,1,24.8,4.3,20.8333333333,914.5,0
329,7,18.9,2.5,145.833333333,921.567,0
330,64,77.7,8.9,1333.33333333,813.834,0
331,333,396,50.7,6937.5,1524.9,0
332,1,12.9,2.1,20.8333333333,1487.5,0
333,7,18.2,2.5,145.833333333,1482.667,0
334,64,86.6,10.6,1333.33333333,1377.534,0
335,333,349.4,38.4,6937.5,244.2,0
336,1,24.3,5,20.8333333333,1054.8,1
337,7,16.6,2.1,145.833333333,1060.567,0
338,64,67.9,7.6,1333.33333333,946.234,0
339,333,373.9,39.6,6937.5,1625.2,0
340,1,46.1,27,20.8333333333,605.3,0
341,7,18.8,2.9,145.833333333,633.667,0
342,64,77.7,9,1333.33333333,525.434,0
343,333,393.4,49.9,6937.5,1198,0
344,1,31,5,20.8333333333,1166.5,0
345,7,23.4,3.2,145.833333333,1180.267,0
346,64,94.2,11.6,1333.33333333,1079.234,0
347,333,324.5,34,6937.5,1739.3,0
348,1,15.8,3.2,20.8333333333,739.3,1
349,7,21,2.8,145.833333333,737.767,0
350,64,128,36,1333.33333333,639.434,0
351,333,338,36.2,6937.5,1315.9,0
352,1,16,4,20.8333333333,1287.2,0
353,7,15.4,2.5,145.833333333,1285.167,0
354,64,73.5,9,1333.33333333,1173.934,0
355,333,303.7,33.6,6937.5,1859.9,0
356,1,16.2,3.1,20.8333333333,850.6,0
357,7,18.8,2.4,145.833333333,848.567,0
358,64,76.9,8.6,1333.33333333,740.334,0
359,333,293.4,31.6,6937.5,1420,0
360,1,20.6,3.5,20.8333333333,1438.4,1
361,7,18.2,2.5,145.833333333,1441.167,0
362,64,76.5,9.1,1333.33333333,1332.534,0
363,333,347.8,38,6937.5,170.5,0
364,1,19.9,3.8,20.8333333333,986.2,0
365,7,18.2,2.4,145.833333333,988.367,0
366,64,76.1,9,1333.33333333,879.734,0
367,333,370.6,39.7,6937.5,1576,0
368,1,13.5,2.7,20.8333333333,47.9,0
369,7,14.4,2.1,145.833333333,42.767,0
370,64,104.6,12.3,1333.33333333,1907.234,0
371,333,429.2,47.7,6937.5,795.9,0
372,1,22.3,5.4,20.8333333333,642.1,1
373,7,21.3,3.4,145.833333333,646.767,0
374,64,90.8,10.7,1333.33333333,543.534,0
375,333,355.9,40.5,6937.5,1210,0
376,1,17.3,4,20.8333333333,1184.4,0
377,7,23.5,3,145.833333333,1184.167,0
378,64,95.9,10.6,1333.33333333,1084.534,0
379,333,545.5,59.3,6937.5,1837,0
380,1,16,3.4,20.8333333333,743.8,0
381,7,19.2,2.8,145.833333333,742.167,0
382,64,90.2,10.8,1333.33333333,637.934,0
383,333,419.4,46.3,6937.5,1351.9,0
384,1,23.3,7.4,20.8333333333,1336.1,1
385,7,41,14.3,145.833333333,1343.567,0
386,64,89.5,12.4,1333.33333333,1270.634,0
387,333,395,39.5,6937.5,140.4,0
388,1,18.9,3.4,20.8333333333,870.9,0
389,7,23.1,2.8,145.833333333,872.467,0
390,64,93.8,10.3,1333.33333333,772.434,0
391,333,376.9,39.8,6937.5,1459.8,0
392,1,13.6,3.5,20.8333333333,941.6,0
393,7,14.8,2.4,145.833333333,936.567,0
394,64,60.5,7.4,1333.33333333,820.934,0
395,333,287.9,34.2,6937.5,1511.7,0
396,1,15.5,3,20.8333333333,1531,1
397,7,20.4,2.8,145.833333333,1528.967,0
398,64,90.7,11.6,1333.33333333,1426.734,0
399,333,416.9,48.8,6937.5,300.9,0
400,1,33.3,6.1,20.8333333333,1590.7,0
401,7,24.5,3.3,145.833333333,1606.667,0
402,64,71.5,7.6,1333.33333333,1500.834,0
403,333,351.2,47.5,6937.5,314.6,0
404,1,18,3.1,20.8333333333,1153.3,0
405,7,15.5,2.1,145.833333333,1153.167,0
406,64,75.9,9.6,1333.33333333,1041.634,0
407,333,407.3,45.1,6937.5,1755.4,0
408,1,29.8,5.4,20.8333333333,1247.6,1
409,7,23.2,3,145.833333333,1259.767,0
410,64,92.5,12.1,1333.33333333,1158.634,0
411,333,358.4,51.3,6937.5,1798.3,0
412,1,19.3,4.2,20.8333333333,782.9,0
413,7,18,2.9,145.833333333,784.367,0
414,64,76.4,9,1333.33333333,675.034,0
415,333,291.4,33.5,6937.5,1354.1,0
416,1,24.6,4.6,20.8333333333,851.3,0
417,7,13.6,1.9,145.833333333,857.567,0
418,64,63.6,7.6,1333.33333333,741.134,0
419,333,313.7,33.6,6937.5,1442.9,0
420,1,21.4,3.3,20.8333333333,1428.5,1
421,7,19.4,2.4,145.833333333,1431.867,0
422,64,79,8.8,1333.33333333,1324.534,0
423,333,357.9,38.7,6937.5,164.7,0
424,1,25.6,5.1,20.8333333333,975.1,0
425,7,19.5,2.8,145.833333333,982.767,0
426,64,77.4,9.3,1333.33333333,875.434,0
427,333,432.3,49.9,6937.5,1597.6,0
428,1,20.5,3.4,20.8333333333,542.3,0
429,7,18.7,2.4,145.833333333,544.767,0
430,64,78.9,9.1,1333.33333333,436.534,0
431,333,299.7,32.5,6937.5,1111.7,0
432,1,24.3,4.1,20.8333333333,1146.8,1
433,7,23.7,2.9,145.833333333,1153.567,0
434,64,98,11,1333.33333333,1052.234,0
435,333,369.9,39.3,6937.5,1696.3,0
436,1,16.1,3.9,20.8333333333,665.2,0
437,7,14.8,2.1,145.833333333,663.267,0
438,64,74.9,9.3,1333.33333333,550.934,0
439,333,293.8,33.2,6937.5,1238.6,0
440,1,22.1,3.8,20.8333333333,1227.3,0
441,7,23.3,2.8,145.833333333,1231.967,0
442,64,102.3,11.6,1333.33333333,1130.734,0
443,333,304.1,32.5,6937.5,1802.5,0
444,1,51.3,30.6,20.8333333333,811.4,1
445,7,99,52.4,145.833333333,845.767,0
446,64,85.9,11.9,1333.33333333,825.234,0
447,333,364.9,42.4,6937.5,1384.6,0
448,1,25.4,4.5,20.8333333333,1284.7,0
449,7,14.4,1.9,145.833333333,1291.567,0
450,64,66.7,7.6,1333.33333333,1175.134,0
451,333,301.3,32.5,6937.5,1854.8,0
452,1,17.9,3,20.8333333333,849.8,0
453,7,18.8,2.4,145.833333333,849.567,0
454,64,80.3,9.1,1333.33333333,741.034,0
455,333,378,42.4,6937.5,1437.7,0
456,1,15.7,3.3,20.8333333333,1433.8,1
457,7,16.7,2.4,145.833333333,1431.467,0
458,64,73.5,9.1,1333.33333333,1321.334,0
459,333,343.2,38.2,6937.5,155.4,0
460,1,15,2.7,20.8333333333,982.4,0
461,7,17.5,2.2,145.833333333,979.067,0
462,64,77.7,8.9,1333.33333333,869.334,0
463,333,304,32.3,6937.5,1545.4,0
464,1,15.7,3.3,20.8333333333,2214,0
465,7,18.1,2.7,145.833333333,2211.567,0
466,64,78.3,8.8,1333.33333333,2102.934,0
467,333,358.4,38.5,6937.5,942.6,0
468,1,13.2,2.5,20.8333333333,799.5,1
469,7,13.2,2,145.833333333,794.067,0
470,64,58.7,6,1333.33333333,676.634,0
471,333,419.8,47.7,6937.5,1392.7,0
472,1,15.4,2.8,20.8333333333,1338.5,0
473,7,16.2,2,145.833333333,1335.267,0
474,64,64.4,7.4,1333.33333333,1220.534,0
475,333,313.4,40.4,6937.5,1929.3,0
476,1,17.3,3.7,20.8333333333,411.3,0
477,7,19.3,2.8,145.833333333,410.767,0
478,64,86.2,10.7,1333.33333333,306.534,0
479,333,291.7,32.3,6937.5,983.701,0
480,1,16.4,3.4,20.8333333333,994.7,1
481,7,13.5,2,145.833333333,992.967,0
482,64,72.9,8.8,1333.33333333,879.734,0
483,333,418.2,47,6937.5,1676.2,0
484,1,16.2,3.6,20.8333333333,538.6,0
485,7,18.7,2.6,145.833333333,536.767,0
486,64,78.8,8.9,1333.33333333,428.434,0
487,333,368.8,39.3,6937.5,1127.9,0
488,1,15,3.3,20.8333333333,604.201,0
489,7,16.6,2.2,145.833333333,601.067,0
490,64,73.5,8.6,1333.33333333,490.534,0
491,333,361.2,39.8,6937.5,1226.6,0
492,1,17.4,3.3,20.8333333333,1186.2,1
493,7,20.6,2.8,145.833333333,1185.967,0
494,64,88.5,11,1333.33333333,1082.334,0
495,333,284.4,31.5,6937.5,1752.8,0
496,1,20.9,5,20.8333333333,734.501,0
497,7,30.5,4.3,145.833333333,738.967,0
498,64,102.3,33.4,1333.33333333,669.534,0
499,333,342.4,38,6937.5,1315.4,0
500,1,18.6,3.7,20.8333333333,1483.5,0
501,7,18.2,2.4,145.833333333,1484.067,0
502,64,112.9,18.2,1333.33333333,1375.134,0
503,333,412.1,51.1,6937.5,278.3,0
504,1,21.4,3.6,20.8333333333,1069.7,1
505,7,16.7,2,145.833333333,1072.767,0
506,64,67.9,7.4,1333.33333333,958.734,0
507,333,372.4,42.7,6937.5,1639.201,0
508,1,17.5,3.8,20.8333333333,615.7,0
509,7,19.6,2.8,145.833333333,615.367,0
510,64,85.4,10.6,1333.33333333,514.834,0
511,333,378.9,54.1,6937.5,1211.7,0
512,1,20.9,3.8,20.8333333333,1170.3,0
513,7,13.1,1.9,145.833333333,1172.867,0
514,64,63.3,7.2,1333.33333333,1055.334,0
515,333,363.6,39.9,6937.5,1765.6,0
516,1,18.8,3,20.8333333333,896.3,1
517,7,18.1,2.3,145.833333333,896.967,0
518,64,78.9,8.7,1333.33333333,788.234,0
519,333,382.3,44.4,6937.5,1497.2,0
520,1,18,3.3,20.8333333333,1442.2,0
521,7,17.6,2.4,145.833333333,1442.167,0
522,64,75.9,8.8,1333.33333333,1333.034,0
523,333,344.8,38.1,6937.5,169.6,0
524,1,19.9,4,20.8333333333,1007.6,0
525,7,20.8,2.4,145.833333333,1009.567,0
526,64,83.3,9.1,1333.33333333,903.234,0
527,333,309.5,32.1,6937.5,1603.2,0
528,1,21,4.6,20.8333333333,1587.1,1
529,7,15.5,2.6,145.833333333,1589.867,0
530,64,63.1,8.1,1333.33333333,1475.034,0
531,333,279.4,30.6,6937.5,280.7,0
532,1,23.3,4.3,20.8333333333,1136.4,0
533,7,20,2.4,145.833333333,1141.867,0
534,64,79.4,8.9,1333.33333333,1035.134,0
535,333,315.7,35.1,6937.5,1785.3,0
536,1,19.4,2.9,20.8333333333,1201,0
537,7,17,2.3,145.833333333,1201.767,0
538,64,68.2,7.6,1333.33333333,1088.234,0
539,333,340.7,48.8,6937.5,1355.5,0
540,1,14.9,2.6,20.8333333333,911.1,1
541,7,13.5,1.9,145.833333333,907.467,0
542,64,60,6.3,1333.33333333,790.134,0
543,333,292.6,30.7,6937.5,1464.9,0
544,1,19.6,3.3,20.8333333333,1678.5,0
545,7,13.7,2.1,145.833333333,1679.967,0
546,64,63.3,7.6,1333.33333333,1563.034,0
547,333,281.2,31.4,6937.5,368.7,0
548,1,33.1,6.4,20.8333333333,1247.5,0
549,7,26.4,3.5,145.833333333,1263.367,0
550,64,107.3,12.1,1333.33333333,1165.534,0
551,333,327,35.5,6937.5,1607.3,0
552,1,15.4,2.8,20.8333333333,615,1
553,7,14.2,2.2,145.833333333,611.867,0
554,64,60.3,6.2,1333.33333333,495.534,0
555,333,356,40.6,6937.5,1186.4,0
556,1,27.3,4.1,20.8333333333,1162.7,0
557,7,24.1,3,145.833333333,1172.667,0
558,64,95.1,10.3,1333.33333333,1072.734,0
559,333,469.5,53.7,6937.5,1774.6,0
560,1,17,2.8,20.8333333333,737.2,0
561,7,15.7,2.1,145.833333333,735.467,0
562,64,63.2,7.5,1333.33333333,620.334,0
563,333,425.5,47.2,6937.5,1331.7,0
564,1,19.1,3.5,20.8333333333,1328.7,1
565,7,21.6,2.9,145.833333333,1330.567,0
566,64,106.9,12.6,1333.33333333,1231.534,0
567,333,498.4,59.3,6937.5,135.1,0
568,1,20.1,3,20.8333333333,868.5,0
569,7,22.5,2.7,145.833333333,870.967,0
570,64,101.7,11.8,1333.33333333,769.134,0
571,333,314,40.5,6937.5,1454.8,0
