block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
130,64,61.3,6.7,1333.33333333,692.734,0
131,333,430.3,46.4,6937.5,1420.7,0
132,1,23.5,4.5,20.8333333333,1385.5,1
133,7,18.5,2.8,145.833333333,1391.567,0
134,64,64,7.5,1333.33333333,1279.534,0
135,333,320.7,39.1,6937.5,84.6,0
136,1,28.4,8.2,20.8333333333,933,0
137,7,22.8,3.4,145.833333333,943.467,0
138,64,96,11.5,1333.33333333,841.534,0
139,333,411.3,46,6937.5,1533.3,0
140,1,28,4.1,20.8333333333,493.9,0
141,7,24.7,3,145.833333333,504.067,0
142,64,96.9,11.8,1333.33333333,403.834,0
143,333,306.7,32.2,6937.5,1065.8,0
144,1,16.9,3.3,20.8333333333,576.9,1
145,7,13,2.1,145.833333333,575.367,0
146,64,59.8,6.2,1333.33333333,457.834,0
147,333,427.5,49.9,6937.5,1166.8,0
148,1,20.5,3.7,20.8333333333,1125.5,0
149,7,18.1,2.5,145.833333333,1128.067,0
150,64,75.8,8.8,1333.33333333,1019.334,0
151,333,307.3,33.3,6937.5,1693.9,0
152,1,20.5,4.1,20.8333333333,686.5,0
153,7,20.9,2.7,145.833333333,689.367,0
154,64,92.5,11.4,1333.33333333,586.934,0
155,333,420.4,74,6937.5,1279.6,0
156,1,20,5,20.8333333333,1282.7,1
157,7,20.1,3.3,145.833333333,1285.267,0
158,64,89,11,1333.33333333,1181.634,0
159,333,420.1,48.9,6937.5,2377.5,0
160,1,19.3,3.6,20.8333333333,1323.8,0
161,7,15.1,2.1,145.833333333,1325.267,0
162,64,74.1,8.6,1333.33333333,1213.634,0
163,333,375.9,41.1,6937.5,1917.1,0
164,1,11.5,2.9,20.8333333333,888.4,0
165,7,12.8,2.3,145.833333333,881.167,0
166,64,56.6,7,1333.33333333,763.534,0
167,333,400,44.8,6937.5,1497.6,0
168,1,23.1,4.6,20.8333333333,2474.3,1
169,7,23.1,3,145.833333333,2479.967,0
170,64,122.2,16.4,1333.33333333,2382.134,0
171,333,423.5,54.1,6937.5,1299.9,0
172,1,16.4,3.3,20.8333333333,1006.7,0
173,7,13.2,1.9,145.833333333,1004.367,0
174,64,61.9,7.1,1333.33333333,887.034,0
175,333,347.8,38.6,6937.5,1583.7,0
176,1,15.2,3.9,20.8333333333,563.3,0
177,7,14.4,2.6,145.833333333,559.867,0
178,64,60.8,7.4,1333.33333333,443.634,0
179,333,292.6,33.7,6937.5,1145,0
180,1,16.1,2.7,20.8333333333,1145.8,1
181,7,14.6,1.9,145.833333333,1143.467,0
182,64,74.9,8.5,1333.33333333,1033.934,0
183,333,433.5,46.3,6937.5,1747.6,0
184,1,26.5,4.3,20.8333333333,698.5,0
185,7,24.7,3.2,145.833333333,707.267,0
186,64,117.7,13.9,1333.33333333,612.634,0
187,333,301.7,35.6,6937.5,1280.5,0
188,1,20.3,3.6,20.8333333333,1258.4,0
189,7,18.4,2.4,145.833333333,1260.767,0
190,64,63.7,7.4,1333.33333333,1149.634,0
191,333,298.3,32.5,6937.5,1829.4,0
192,1,21.1,4.1,20.8333333333,840.2,1
193,7,15.3,2.2,145.833333333,843.267,0
194,64,73.6,8.9,1333.33333333,731.634,0
195,333,350.9,39.9,6937.5,1418.6,0
196,1,15.4,3.4,20.8333333333,1378.9,0
197,7,12.7,2.4,145.833333333,1375.567,0
198,64,88,10.8,1333.33333333,1262.234,0
199,333,402.4,45.8,6937.5,131,0
200,1,61.2,42.3,20.8333333333,944.3,0
