block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,64,139.7,24.5,666.666666667,41.8,1
1,64,128.6,16.4,666.666666667,1406.534,0
2,64,86.6,9.3,666.666666667,892.567,0
3,64,87.3,10.4,666.666666667,336.1,0
4,64,78.9,10.8,666.666666667,1397.434,0
5,64,67.7,7,666.666666667,828.267,0
6,64,68,7,666.666666667,249.6,0
7,64,76,9.3,666.666666667,1401.334,0
8,64,67.5,6.8,666.666666667,831.567,0
9,64,66.9,6.7,666.666666667,253.1,0
10,64,117.9,32.9,666.666666667,1408.334,0
11,64,73.7,10.5,666.666666667,882.967,0
12,64,55.8,7.1,666.666666667,306.4,0
13,64,65.2,9.5,666.666666667,1399.634,0
14,64,59.2,7.2,666.666666667,814.567,0
15,64,55.8,6.5,666.666666667,223.3,0
16,64,66.8,7.9,666.666666667,1404.634,0
17,64,76.9,10,666.666666667,821.467,0
18,64,81.7,9.9,666.666666667,256.4,0
19,64,87.2,9.8,666.666666667,1418.134,0
20,64,86.1,9.9,666.666666667,863.467,0
21,64,85,9.8,666.666666667,307.3,0
22,64,83.8,9.3,666.666666667,1413.334,0
23,64,68.2,8.1,666.666666667,851.167,0
24,64,67.4,8,666.666666667,272.9,0
25,64,76.4,8.9,666.666666667,1410.934,0
26,64,57.2,6.9,666.666666667,841.467,0
27,64,62.6,8.1,666.666666667,248.6,0
28,64,65.7,8.1,666.666666667,1408.034,0
29,64,67.1,8.3,666.666666667,823.767,0
30,64,68,8.2,666.666666667,262.6,1
31,64,69.5,8.2,666.666666667,1410.834,0
32,64,79.6,8.2,666.666666667,836.667,0
33,64,78.9,7.9,666.666666667,273.8,0
34,64,108.7,15.4,666.666666667,1486.534,0
35,64,80.4,8.4,666.666666667,952.567,0
36,64,76.6,8.1,666.666666667,388.8,0
37,64,95.2,11.6,666.666666667,1412.534,0
38,64,82.1,8.4,666.666666667,864.967,0
39,64,81.1,8.1,666.666666667,304.1,0
40,64,85.6,10.9,666.666666667,1415.934,0
41,64,53.4,5.4,666.666666667,851.867,0
42,64,53,5.3,666.666666667,254.7,0
43,64,85.2,10,666.666666667,1568.734,0
44,64,79.2,10,666.666666667,1010.267,0
45,64,78.8,9.8,666.666666667,445.6,0
46,64,81.3,11.5,666.666666667,1560.434,0
47,64,72.7,9,666.666666667,995.567,0
48,64,69.4,8.2,666.666666667,422,0
49,64,101.7,12.1,666.666666667,1565.634,0
50,64,87.5,10.5,666.666666667,1024.467,0
51,64,84.8,9.9,666.666666667,468.5,0
52,64,159.8,37.5,666.666666667,1567.834,0
53,64,111.1,12.8,666.666666667,1091.567,0
54,64,128.2,27.2,666.666666667,565.7,0
55,64,64.6,7.3,666.666666667,44.434,0
56,64,61.1,7.4,666.666666667,891.867,0
57,64,55.3,6.7,666.666666667,303,0
58,64,62.5,7.6,666.666666667,1553.534,0
59,64,55.2,7.1,666.666666667,965.867,0
60,64,59.5,7.7,666.666666667,387,1
61,64,75.5,10.2,666.666666667,1550.234,0
62,64,67.3,8.3,666.666666667,979.167,0
63,64,59.5,7.8,666.666666667,396.2,0
64,64,79,9.8,666.666666667,1559.734,0
65,64,67.4,7.1,666.666666667,993.067,0
66,64,66.6,6.8,666.666666667,414.3,0
67,64,80.8,8.5,666.666666667,1563.934,0
68,64,79.1,7.9,666.666666667,1002.267,0
69,64,78.9,8.1,666.666666667,438.8,0
70,64,61.1,7.6,666.666666667,1557.434,0
71,64,54,5.5,666.666666667,968.667,0
72,64,53.7,5.6,666.666666667,372.5,0
73,64,81.1,8.5,666.666666667,1567.034,0
74,64,79.4,7.9,666.666666667,1006.167,0
75,64,79.1,8,666.666666667,443.7,0
76,64,89.3,10.4,666.666666667,1262.334,0
77,64,82.2,10.9,666.666666667,710.167,0
78,64,84.5,11.1,666.666666667,149.9,0
79,64,87.7,11.2,666.666666667,1448.234,0
80,64,86.8,10.7,666.666666667,894.067,0
81,64,83.8,9.9,666.666666667,338.5,0
82,64,76.3,10.4,666.666666667,1451.234,0
83,64,56.3,6.7,666.666666667,877.367,0
84,64,56.4,6.6,666.666666667,283.5,0
85,64,69.9,7.8,666.666666667,1447.234,0
86,64,57.2,6.5,666.666666667,866.867,0
87,64,56.8,6.5,666.666666667,273.8,0
88,64,87.1,28.1,666.666666667,1439.834,0
89,64,55.3,6.5,666.666666667,876.667,0
90,64,55,6.5,666.666666667,295.9,1
91,64,59.8,7.1,666.666666667,1440.934,0
92,64,54.1,5.5,666.666666667,850.767,0
93,64,53.7,5.5,666.666666667,254.8,0
94,64,70.8,8.6,666.666666667,1442.534,0
95,64,69.5,8.3,666.666666667,867.267,0
96,64,69.2,8.3,666.666666667,290.6,0
97,64,63,7.8,666.666666667,1435.734,0
98,64,53.2,5.5,666.666666667,848.467,0
99,64,52.7,5.3,666.666666667,251.3,0
100,64,81.7,9.6,666.666666667,1449.734,0
101,64,79.4,8.2,666.666666667,891.667,0
102,64,78.3,7.8,666.666666667,328.3,0
103,64,126.7,29.4,666.666666667,1457.834,0
104,64,107.5,11.3,666.666666667,952.467,0
105,64,100.8,10.1,666.666666667,422.5,0
106,64,61.1,7.7,666.666666667,1442.234,0
107,64,53.5,5.5,666.666666667,852.767,0
108,64,52.6,5.3,666.666666667,255.7,0
109,64,67.9,8.3,666.666666667,1445.934,0
110,64,83.8,11,666.666666667,871.767,0
111,64,81.9,10.4,666.666666667,313,0
112,64,62.4,9.2,666.666666667,1444.834,0
113,64,56,7.2,666.666666667,856.967,0
114,64,53.5,5.5,666.666666667,262.4,0
115,64,102.3,12.6,666.666666667,1451.234,0
116,64,94.2,10.6,666.666666667,910.767,0
117,64,96.9,11.3,666.666666667,362,0
118,64,101.2,11.8,666.666666667,1457.934,0
119,64,86.9,9.6,666.666666667,915.967,0
120,64,85.3,9.4,666.666666667,375.8,1
121,64,63,7.1,666.666666667,1444.534,0
122,64,55,6.6,666.666666667,857.367,0
123,64,54.2,6.6,666.666666667,262,0
124,64,60.1,7.3,666.666666667,1444.634,0
125,64,54,5.6,666.666666667,854.467,0
126,64,54,5.5,666.666666667,258,0
127,64,90.8,10.9,666.666666667,1489.234,0
128,64,116,13.8,666.666666667,956.867,0
129,64,105.4,13.2,666.666666667,435.8,0
130,64,63.9,8,666.666666667,1437.434,0
131,64,53.8,5.7,666.666666667,851.167,0
132,64,52.6,5.3,666.666666667,254.5,0
133,64,71.4,8.6,666.666666667,1449.834,0
134,64,79.2,8.2,666.666666667,879.267,0
135,64,78.9,7.9,666.666666667,316.5,0
136,64,71.7,7.9,666.666666667,1446.434,0
137,64,78.4,7.8,666.666666667,876.167,0
138,64,78.9,8,666.666666667,312.3,0
139,64,70.6,7.9,666.666666667,1443.834,0
140,64,78.8,8,666.666666667,872.267,0
141,64,79,8,666.666666667,308.8,0
142,64,61,7.6,666.666666667,1447.134,0
143,64,56.3,7.4,666.666666667,857.867,0
144,64,55.1,7,666.666666667,264,0
145,64,62.8,9.4,666.666666667,1444.234,0
146,64,82.9,10.8,666.666666667,863.767,0
147,64,79.4,8,666.666666667,304.6,0
148,64,93.5,11.9,666.666666667,1462.934,0
149,64,72.7,8.1,666.666666667,910.467,0
150,64,72.2,8.1,666.666666667,353.5,1
151,64,132.6,14.8,666.666666667,1459.034,0
152,64,109.3,12.8,666.666666667,955.867,0
153,64,112.1,13.3,666.666666667,428.8,0
154,64,66.8,7.5,666.666666667,1442.734,0
155,64,55.3,6.8,666.666666667,859.267,0
156,64,54.5,6.5,666.666666667,264.2,0
157,64,63.5,7.6,666.666666667,1440.734,0
158,64,56.9,6.6,666.666666667,854.167,0
159,64,54.5,5.5,666.666666667,261.1,0
